customer_id,first_name,last_name,date_of_birth,gender,email,phone_number,address,city,country,occupation,income_bracket,customer_since
ab00fb13-5d84-4da3-b4c7-62c74f080f81,Nicholas,Hardin,1991-01-30,Female,wzimmerman@example.net,379-220-3025x835,55779 Robert Ports,Frankfurt,Germany,"Engineer, communications",High,2020-03-06
8e7edddf-83c1-41c8-a32b-3c6772c33d12,Cassie,Taylor,1938-09-06,Female,qmartin@example.net,817-971-0061,6740 Eric Greens Suite 218,Cologne,Germany,Media planner,Low,2021-03-12
2d1f0ed0-78a1-4419-89a2-aa86e46ea689,Anthony,Castro,1960-08-09,Male,franklinjeremiah@example.net,425-688-9312x99031,851 Luis Freeway Suite 683,Birmingham,United Kingdom,Careers adviser,Medium,2014-10-01
70c287d7-1192-4496-89d2-2489eed41c92,Ariana,Swanson,1994-01-20,Male,robertporter@example.net,2208558328,2869 Dawn Turnpike,Birmingham,United Kingdom,Minerals surveyor,Medium,2016-07-06
fb3701ed-ccc2-4a4e-9f1f-d07cd251b8e6,Holly,Petersen,1955-12-12,Male,alexanderjames@example.org,878.656.4977x0815,539 Wallace Junctions Suite 359,Delhi,India,Technical brewer,High,2020-10-14
8ca8e336-56c1-4086-a273-18a16cf8bf53,Anthony,Johnston,1953-12-30,Male,patricia05@example.net,(941)718-8625,8989 Baker Wells,Delhi,India,Intelligence analyst,Medium,2017-05-21
c530827b-1e6f-4839-944c-7ebb5ab80a47,Mary,Nicholson,2005-06-13,Male,mathismaria@example.com,(506)617-7904,2981 Hanna Stream Suite 365,Berlin,Germany,Financial adviser,Medium,2015-08-30
3029a16a-a1cf-455c-887d-dc0a42a25dad,Jessica,White,1955-01-01,Female,shermanvalerie@example.org,(422)927-4624,5819 Torres Valleys Suite 474,Manchester,United Kingdom,Higher education lecturer,High,2018-04-09
f12cde8a-8ba6-46c2-88bd-842853c568ca,Michael,Cole,1948-03-24,Female,elizabethcarpenter@example.com,+1-842-903-9793x37002,150 Kathleen Curve Suite 800,Fukuoka,Japan,"Surveyor, building control",Low,2018-06-03
f8b616d3-9544-4e40-952d-883a479a0b29,James,Weaver,1936-02-12,Male,jcordova@example.org,3154691566,1749 Fleming Village,Los Angeles,United States,Stage manager,Low,2018-08-12
3e5db2ad-6571-483f-b339-3e3e6fb4d678,James,Thomas,1988-01-19,Female,christopherjohnson@example.org,3376116117,766 Jonathon Crest Suite 662,Manchester,United Kingdom,Multimedia specialist,High,2021-08-06
061c389d-98c0-41f7-9105-5a7c36e6c1f7,Kelly,Larson,1949-04-13,Male,michaelmurray@example.net,624-465-3855x4727,72135 Bell Street Apt. 438,Phoenix,United States,Barista,High,2022-04-07
7fd9cbae-27e3-4a97-b480-fe3beb1cb558,Christian,Hebert,1968-12-20,Male,mendozatracy@example.org,001-509-615-6447,070 Stephen Shores Suite 709,New York,United States,Operational researcher,Medium,2019-07-30
921294e9-476f-4063-ad9e-71930502ce7c,Denise,Schneider,1940-02-07,Male,ericstewart@example.net,(346)202-6701x5219,2546 Brewer Lakes,Nagoya,Japan,Minerals surveyor,Low,2017-05-23
f3ed0ee1-2f6b-4010-8e09-d504b3017c90,Dennis,Diaz,1997-01-02,Male,sara68@example.com,359.616.6042,175 Barron Mission,Tokyo,Japan,Retail banker,Low,2020-01-20
fcb5b0b3-33a5-45b9-b528-3511676b20bb,Anna,Robertson,1953-04-09,Female,ksanchez@example.net,001-798-735-8050x62892,1918 Morris Manors Suite 153,Phoenix,United States,Economist,Low,2016-10-08
89999184-2132-40de-9843-bf4c3b25a927,Evan,Moore,1936-03-14,Male,cindygonzalez@example.org,457-354-4816x2332,9033 Kimberly Gateway,Munich,Germany,Mechanical engineer,Medium,2023-03-22
aaae0228-d2e4-4a34-b09c-f3a41f4b0d93,Beth,Davis,1992-05-30,Male,corey38@example.com,7364874136,87369 Randy Key,Sapporo,Japan,"Engineer, materials",Medium,2021-10-17
bc617c46-6a7c-491f-850f-e61734e68405,Tina,Long,1953-09-01,Male,kimberly20@example.net,(871)840-2643,49588 Adrienne Trafficway Suite 182,Chennai,India,Research scientist (physical sciences),High,2019-05-09
577deb9c-cc66-48f7-a18d-9b614b80ef15,Jessica,Gomez,1941-02-21,Male,craigbrian@example.org,001-908-707-5708x4271,51043 Davis Village Apt. 202,Glasgow,United Kingdom,Forensic psychologist,Low,2017-04-27
85b8f344-e028-4983-9b12-82a779eb1037,Clifford,Montgomery,1979-02-26,Female,turnermary@example.com,001-955-811-8737,4808 Floyd Oval,Chicago,United States,Print production planner,Low,2021-07-26
f107e358-7d08-4349-b890-754d9cc3ba8a,Edward,Elliott,1965-10-14,Female,jenna17@example.com,(950)281-4489,3896 Miller Green,Houston,United States,Network engineer,Low,2023-04-24
261b0ba3-4ab6-48b3-ad97-5df4089ee46b,Michelle,Davis,1944-07-18,Male,jameswalters@example.org,+1-499-938-3541x606,44044 Erica Overpass,Chennai,India,Analytical chemist,Medium,2021-01-30
04ac51d8-a439-4ac5-8703-54421e1c6171,Julian,Gilbert,1969-02-27,Male,kimberly30@example.com,(857)768-3935,36834 Howard Orchard,Tokyo,Japan,Quarry manager,Low,2021-07-29
e69e013f-71a8-4074-b94a-2f6d5f3acb7d,Suzanne,Boyd,1991-03-10,Female,ganderson@example.org,5326058853,28577 Holt Drive,Delhi,India,Press photographer,Low,2018-01-09
92b26cca-6701-4d16-9dcd-5d5d91c9f3aa,Arthur,Warren,1998-03-06,Female,gomezamber@example.com,426.850.9125,8048 Adrian Ports,Hamburg,Germany,Database administrator,High,2020-06-23
0446c0fb-6cf1-437f-bced-4f893e456c61,Heather,Smith,1954-02-04,Male,hjohnson@example.org,9783072356,04211 Christy Field,Hyderabad,India,Recycling officer,High,2020-02-19
bc431195-81fc-4c05-83c7-6a2f66630764,Mark,Cochran,1982-03-12,Male,dylan23@example.net,(706)536-2864x4654,85751 Glover Street,Los Angeles,United States,"Producer, television/film/video",Medium,2016-10-17
6116e4ae-d4ca-458b-b115-8b7af46a6082,Laura,Herrera,1944-05-07,Female,kjohnson@example.com,6128350734,46903 Claire Ports,Munich,Germany,English as a foreign language teacher,Medium,2022-08-13
da8aeafc-8443-4c45-8021-f399036b557b,Joshua,Fields,1962-01-09,Male,sarah16@example.com,+1-639-277-4697,348 Brandon Court,Birmingham,United Kingdom,Insurance risk surveyor,Medium,2017-01-13
d998be4d-fdba-4d85-958a-b4ee69ebf88b,Dan,Smith,1943-07-28,Female,benjaminjones@example.org,824-700-6410,196 Michelle Meadows Suite 380,Tokyo,Japan,"Buyer, industrial",High,2018-10-01
5b129c9e-943b-4961-b7d3-fc8c9369a010,Alexander,Carey,1965-08-20,Male,janicesingh@example.net,(508)747-2823x17872,950 Singh Stream,Hamburg,Germany,"Administrator, Civil Service",Medium,2021-06-22
9e959379-06af-4c74-8239-3260d44e5889,Lori,Sanchez,1965-05-06,Male,jbarnes@example.com,001-459-984-0554,75094 Buck Springs Apt. 479,Osaka,Japan,Gaffer,Low,2016-01-26
77ce562d-c301-492a-bd9f-1e568bd18785,Victoria,Burton,1949-08-12,Male,frynicholas@example.org,389.672.3634x895,00612 Smith Springs Apt. 343,Munich,Germany,Sports development officer,Medium,2020-11-30
93d53274-dab6-497b-bbe6-cafb57a841f3,Linda,Evans,1935-03-09,Male,rdeleon@example.net,+1-740-379-7833x0109,5280 Michael Stream,Manchester,United Kingdom,Minerals surveyor,High,2018-12-10
2edca212-a52f-4df2-99ab-40df3603d8b2,Theodore,Lopez,1940-07-08,Female,jparker@example.net,410.611.0325,86444 Jacqueline Valley Apt. 245,Birmingham,United Kingdom,Metallurgist,Medium,2018-02-03
10d3ff77-e346-4021-b3e1-d5bea6b5b799,David,Zimmerman,1995-01-10,Male,debra89@example.net,232-638-1270x59194,570 Erin Shoals Suite 252,Tokyo,Japan,Civil Service administrator,High,2019-05-11
465f1f72-e11b-4c98-9791-ce0d52180fac,Jim,Robinson,1941-07-12,Female,zwalters@example.org,+1-764-698-4901x85653,7645 Harmon Radial Suite 815,Hyderabad,India,Learning mentor,Low,2014-12-25
1dfeb08a-2993-4a3f-91de-d59b496416e7,Lindsay,Ward,1966-02-04,Female,johnsonkayla@example.com,8167851595,05458 Clark Spring Suite 974,New York,United States,Corporate treasurer,Low,2022-07-16
405a0126-fcb9-4b65-9af9-92b63b6b2b45,Seth,Walker,1936-10-23,Female,allen27@example.org,476-202-6625,78648 Sampson Glen Apt. 768,Delhi,India,"Teacher, English as a foreign language",Medium,2014-09-12
328ea2ac-98be-425c-8183-60801b709ed3,Kim,Jimenez,2004-06-04,Male,colelaura@example.org,971.609.3392x7621,324 Frank Mews Suite 221,Cologne,Germany,Local government officer,High,2023-02-09
de36f427-2e13-45bd-a54c-36952b23dc80,Brandon,Long,1949-09-28,Male,christophermeyer@example.org,(448)275-6647x45223,1374 Ross Estate Suite 235,Frankfurt,Germany,"Programmer, systems",Low,2017-08-08
64871ef5-a2b1-4f04-8ce4-0100b6bf169a,Patricia,Collins,1953-10-21,Male,llucas@example.org,001-544-643-5257x9148,087 Wright Hills,Houston,United States,Sales promotion account executive,Low,2023-06-21
041d2def-4494-499b-a240-8233b3656494,Mary,Murray,1993-05-01,Male,mmckenzie@example.com,663.643.1253x138,72308 Michele Squares Suite 386,New York,United States,Customer service manager,Low,2022-11-02
846c6ac1-4eac-480f-92f3-2ec8290ef088,Devin,Mccarthy,1978-08-21,Male,jensenshannon@example.net,461-847-4022,726 Hall Gardens,Chicago,United States,Records manager,Medium,2022-03-08
17ed005c-04de-4924-ae73-bcd8d991583d,Zachary,Anderson,1934-01-25,Male,moodymichael@example.net,(876)477-4930,106 Stokes Ford,London,United Kingdom,"Secretary, company",High,2022-01-07
69e42367-064c-4ed7-b3d7-40b1396655e6,Kimberly,Wilson,1996-01-19,Male,odomdana@example.net,835.426.6681,3236 Debra Ports Apt. 777,Mumbai,India,Ambulance person,High,2020-03-01
46d7c3d0-41ae-47ea-8f55-82b433fb3740,Carrie,Reed,2003-02-01,Female,stephensbrian@example.com,624.638.6045,54017 Alvarez Forge,Munich,Germany,Recruitment consultant,Low,2018-03-06
1ceaa33a-f0df-4b87-97fd-71d793ef30cf,Amanda,Gibson,1988-09-03,Male,kimberlyhill@example.org,(324)664-6161x259,0745 Kevin Ville Suite 496,Houston,United States,Cytogeneticist,Medium,2024-04-04
bc9e8c79-0de3-4fb7-8ce5-30ea3c99ce4a,Virginia,Patterson,2000-06-16,Female,robinsonkevin@example.com,5849463517,1524 Jennifer Fall Suite 697,Chicago,United States,Orthoptist,Medium,2016-05-21
0c9b6f70-4b4c-4308-86fd-2707620967e0,Sandra,Baird,1984-07-21,Male,melanie70@example.net,2113111590,136 Amber Via,Bangalore,India,Accounting technician,High,2020-01-21
15871a85-cfd9-4de0-a05c-d8a088d05f08,Benjamin,Smith,1997-09-30,Female,denise13@example.org,303-322-9715,1765 Jeffrey Green Suite 117,Mumbai,India,"Engineer, materials",High,2023-05-09
01a897b5-06fd-493d-b1bb-ec8a3e276efc,Traci,Davis,1951-06-19,Male,tina58@example.net,610-624-5251,325 Jennings Road Apt. 449,Houston,United States,"Conservation officer, historic buildings",Medium,2017-10-15
f671909c-9ff0-4782-94f2-caa7488bed95,Patrick,Anderson,1934-03-14,Female,pmorales@example.net,(690)300-4504x524,02794 Morales Square,Phoenix,United States,Retail banker,Medium,2021-11-30
f607cb3b-2bdc-4b0d-90ea-c13683827a91,Jeffery,Martin,1966-01-16,Male,paynebarry@example.com,446.766.1848,093 Warner Meadows,Berlin,Germany,Press sub,Medium,2019-06-24
a16a7dad-7d13-4296-a90b-0b893433ffce,Danielle,Wang,1971-11-25,Female,lisagordon@example.com,6718701972,13167 Eric Island,Delhi,India,Corporate treasurer,Low,2020-11-15
ebeda860-b079-464e-bcae-80b5fed4521b,John,Underwood,1969-08-08,Female,petersonanthony@example.com,874.757.6020,3138 Matthew Grove,Delhi,India,Animator,High,2020-06-07
a184d213-4b87-4f88-b6dc-4ab3fecf44ce,Spencer,Hart,1943-03-24,Female,bethjames@example.com,+1-699-860-4217x65700,402 Clark Glen,Mumbai,India,Orthoptist,High,2022-10-20
661835c3-3793-4ce1-a234-9a3009a1e47b,Nicole,Wolfe,1942-10-12,Female,stephanierangel@example.net,597-884-4114,439 James Common Apt. 831,Glasgow,United Kingdom,"Biochemist, clinical",Medium,2019-09-30
694961d1-3551-482d-9ceb-8e20c81c2e90,Amanda,Wall,1944-11-16,Female,holly24@example.com,+1-843-993-0280,2632 Taylor Flat Apt. 275,Hyderabad,India,Furniture conservator/restorer,Medium,2024-07-10
08e21b61-226f-4898-a407-2ba53ed38f83,Cristina,Frederick,1969-01-04,Male,bradleyjulie@example.net,(890)931-6302x932,461 Lee Coves Apt. 224,Cologne,Germany,Financial trader,Low,2023-09-03
86e1dfac-23f0-40b7-b394-229246f12de2,Melissa,Townsend,1968-10-24,Male,lkelly@example.com,286.825.6405,485 David Stravenue Apt. 364,Tokyo,Japan,Hydrogeologist,Medium,2019-05-08
0708893d-3bdf-473f-a3a7-62df86b42136,Tamara,Olson,1965-09-20,Female,owilliams@example.net,5542408222,0648 Gill Cliffs,Nagoya,Japan,Social worker,Low,2014-09-26
720ad0f1-8151-4782-94b6-318daeca3779,Stephanie,Martin,1988-06-13,Female,brownjake@example.net,(885)819-7100,62229 Smith Ways,London,United Kingdom,"Designer, ceramics/pottery",Medium,2017-02-14
e39c76ef-733f-46ea-8199-fab408e78dac,Christine,Kidd,2003-08-16,Female,foxmegan@example.org,610.386.8241,5383 Bolton Radial Suite 057,Hamburg,Germany,"Journalist, magazine",Low,2024-08-02
a6fc987e-8ae2-4c6b-aa61-896193d840e3,Kevin,Williams,1986-06-01,Female,cindygentry@example.org,001-775-492-0080x224,284 Michael Fort,Chennai,India,"Surveyor, insurance",Medium,2017-02-17
492b179e-3fec-4217-8c9f-0017dc513369,Krystal,Richardson,1998-07-20,Female,robertskathleen@example.net,+1-491-219-8586,9635 Kimberly Fords Apt. 553,Delhi,India,Armed forces technical officer,Low,2020-03-30
6d883761-3178-4a68-b078-81348946dc6e,Victoria,Sutton,1968-01-24,Female,qsalinas@example.org,+1-462-984-6528,795 James Pass Apt. 564,Sapporo,Japan,Early years teacher,High,2022-06-21
1a35ea7d-ac01-4f89-9d27-55d3088236e3,Deanna,Sims,1992-06-26,Female,joseph93@example.org,(761)573-3138x92313,035 Wanda Stream Apt. 715,Los Angeles,United States,"Engineer, production",High,2017-01-04
95136ee6-855d-46e2-ab1a-171376700271,Anita,Moody,1989-04-07,Male,jamesgallagher@example.com,883-819-7110,580 Rose Gardens,Bangalore,India,Water quality scientist,High,2020-06-24
e114c364-5591-4600-b39e-0bd3e2e8f1ec,Shannon,Kelly,1989-10-26,Female,castillojohn@example.com,(625)215-1375x27474,5662 Rachel Fields Suite 265,Liverpool,United Kingdom,Building control surveyor,Medium,2024-06-21
230dbb6a-f36d-478b-b93b-1bd009ac55d0,Ryan,Becker,1957-01-02,Female,dustinsparks@example.com,(340)851-7267,31089 Taylor Plains,Los Angeles,United States,Orthoptist,Low,2022-03-16
fa042157-1201-4253-9b00-31be3e9f78d4,Calvin,Gray,1954-07-01,Female,wilsonanna@example.net,001-802-850-8797x12210,876 Amanda Harbor,Manchester,United Kingdom,"Investment banker, corporate",High,2017-06-07
7b2ca57e-c5d6-438c-8e18-ff32c9e124a4,Grant,Finley,1966-07-04,Female,ian00@example.net,+1-350-335-5485x3194,1681 Lopez Dale,Glasgow,United Kingdom,Purchasing manager,Low,2022-09-24
23f36215-f902-48fe-853e-b3287a1cb4bf,Alexander,Ross,1939-01-26,Male,mayricardo@example.com,+1-724-781-9302x570,8958 Reed Orchard,Cologne,Germany,Field seismologist,Medium,2014-10-28
644dbeb3-6baa-46a0-ba32-f1a078281781,Cynthia,Hicks,1964-02-03,Male,smejia@example.com,375.829.1702x408,8485 Lisa Canyon Apt. 163,Sapporo,Japan,"Engineer, civil (contracting)",Low,2015-07-21
0f003b9f-9a6f-42ec-b828-b47e42c8cd60,Joshua,Rivera,1963-05-20,Female,kevin61@example.net,001-307-498-1114x686,4483 Hill Plaza,New York,United States,"Surveyor, commercial/residential",Low,2023-02-24
b13f445c-8b96-410d-953c-8353b5fb255f,Emily,Bryant,1962-08-05,Male,cwilson@example.com,001-644-320-0304x3357,30372 West Pines Suite 890,Delhi,India,Forensic psychologist,Medium,2020-10-16
22173f57-b4a9-49ec-95f3-3752109f7bb6,Robert,Jackson,1950-11-21,Female,roachbonnie@example.org,001-878-712-2333x30872,0532 Brenda Crest,Phoenix,United States,Medical secretary,Medium,2019-05-12
3f9db2fb-32b3-4ae1-8507-ae198828694e,Stephanie,Miller,1992-03-09,Male,valeriehill@example.org,517.387.2163,838 Payne Cape Apt. 974,Glasgow,United Kingdom,"Psychologist, educational",High,2023-11-07
00dfb860-9b30-43c6-a914-553973c4dc6b,Emily,Mcguire,1986-02-16,Male,peter91@example.org,9378501646,16510 Kathryn Pike Apt. 573,Birmingham,United Kingdom,"Scientist, audiological",Medium,2019-06-15
d677af25-a4f0-4b0a-a40a-f91ebaa008e8,Andrew,Webb,1965-05-21,Female,cgreen@example.net,001-497-970-9420,202 Brandi Crest Suite 978,Fukuoka,Japan,"Engineer, production",High,2022-06-22
